filename,model_name,model_version,rmse_aggregate,mae_aggregate,crps,ratio_within_10th_90th,ratio_within_25th_75th,test_sample_count
laos_ETS.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,299.7849402465331,113.03820129700773,88.67189341286577,0.7777777777777778,0.5555555555555555,6300.0
laos_ARIMA.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,306.11497439315207,112.36252197940625,88.65789267892785,0.8095238095238094,0.5555555555555556,6300.0
laos_NNETAR.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,291.17857532214464,109.42935593635922,84.29184166501575,0.8095238095238094,0.5873015873015872,6300.0
laos_THETA.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,288.88318882574083,109.83610226231019,86.8697535620577,0.7460317460317459,0.6190476190476192,6300.0
laos_SNAIVE.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,294.5629778276589,112.23715741558316,88.17982662067791,0.8253968253968252,0.6031746031746031,6300.0
laos_COMBINATION.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,295.2852904733396,112.63045244467486,86.15566124369033,0.7460317460317459,0.603174603174603,6300.0
thailand_ETS.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,39.66240475083338,20.360141713472636,17.158322482245143,0.9007936507936508,0.7003968253968252,26100.0
thailand_ARIMA.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,41.20989515435723,20.482353782534535,17.071984649520434,0.8908730158730158,0.6984126984126984,26100.0
thailand_NNETAR.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,39.88920644709836,20.68614343852046,17.19320602425208,0.884920634920635,0.7043650793650793,26100.0
thailand_THETA.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,39.57499724807817,20.441165790201897,17.050374264618647,0.8888888888888887,0.6944444444444445,26100.0
thailand_SNAIVE.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,40.38657912607993,20.615206589772026,17.181421618232264,0.8968253968253969,0.7063492063492063,26100.0
thailand_COMBINATION.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,40.19945135355473,20.652620706716707,16.92266017622256,0.8968253968253966,0.7202380952380951,26100.0
vietnam_ETS.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,66.07292040730137,40.65539035644581,37.911400254210484,0.9824561403508772,0.9298245614035087,17100.0
vietnam_ARIMA.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,67.03563474930854,40.556357776807545,38.449790286089424,0.9941520467836258,0.9356725146198829,17100.0
vietnam_NNETAR.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,60.921112323680646,38.92087155583658,37.68401505686742,0.9883040935672515,0.9298245614035087,17100.0
vietnam_THETA.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,68.69836780112239,40.4974276239593,38.64521308874419,0.9941520467836258,0.9298245614035087,17100.0
vietnam_SNAIVE.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,62.01741931914641,39.58582339320242,37.58610005541086,0.9941520467836258,0.9473684210526315,17100.0
vietnam_COMBINATION.nc,/Users/knutdr/Sources/chap_r_sdk/examples/model_comparison,unknown,68.91906965555346,41.6211546861772,38.39252008051468,0.9883040935672515,0.9239766081871346,17100.0
